new_id,Годовая выручка
179,502275514.4777118
180,1042733735.2971079
183,663627472.1353953
184,658940341.4673308
185,820482618.5574679
186,571078303.9943644
187,636421663.0070434
188,743895401.7891146
189,442728578.49231315
190,436137357.9430516
191,433297167.67579865
192,369753801.95482844
193,510757673.80599785
194,834423920.9941194
195,804609335.7337457
196,369633158.51419926
197,934507639.497986
198,488729252.65673167
199,531704704.23017204
200,543535085.3527348
201,529129555.9857629
202,443574892.5304184
203,792459019.0513852
204,504314930.4800834
205,454140757.5968819
206,582975420.9925495
207,933539919.6739597
208,1026154411.9034973
209,935268300.3400754
210,432805905.1583456
211,766901684.2222337
212,474008194.293948
213,1075525960.4806068
214,675946656.1982207
215,633051586.9983361
216,451940169.19418925
217,791774311.3955013
218,558085069.96754
219,923982921.6599361
220,753236094.2410934
222,897987788.5218669
223,1367287293.514735
224,546973909.4017491
225,866337762.3300159
226,817698140.443599
227,640352495.230523
228,942113061.8101242
229,606556770.9938296
231,403947064.81652385
232,417245871.47414225
233,731748111.6136733
234,570183534.315382
235,516116933.46768713
236,550684901.8553603
237,779374354.0569726
238,844033202.7408497
240,714409309.135493
241,241634250.4884277
242,521841025.2891597
243,886892167.738644
244,1755543319.9593706
245,516844509.43287206
246,330794315.7899699
247,624759964.9564387
248,1068654132.0476215
250,680154457.2635413
251,898771574.9038854
252,1157765103.8571973
253,658461236.1673415
254,1143834584.3623955
255,1003511055.5362997
256,1011945773.2139044
257,1092888861.0814815
258,741498624.5630313
259,691325357.8669541
260,1217214306.5777037
261,524193766.0463323
262,1483333396.3447378
263,1044239864.4111404
264,1671485876.8404498
265,627257191.4698999
266,547673997.4542447
267,705576387.6807555
268,549299276.679836
269,723713493.9551494
270,354385432.10825944
271,519095138.211718
272,734707639.131522
273,504088234.9365157
274,367323880.02519095
275,1082365021.908554
276,787796707.1489722
277,323838938.9433163
278,895631617.5820712
279,506533263.6098014
280,751506412.9072925
281,557851125.7890978
282,974811040.8884351
283,333713577.71119595
284,703854608.7583814
285,914577983.9486978
286,451087468.167105
287,692644724.1134751
288,451750826.164459
289,578611195.7386394
290,444483551.88925606
291,539285336.0383484
293,750335502.2327969
294,702648136.0119537
295,1141219597.0230482
296,435914709.3076953
297,607016229.2063774
298,1331087177.4687169
299,1476690840.8474183
300,639961548.5134304
301,707464083.0700829
302,829410131.1652437
303,336656367.9677505
304,486631053.6829436
305,404637596.86920226
306,675233508.7079058
307,525076815.4817721
309,429111687.6403559
310,343996140.63693035
311,452252780.6161115
312,674363301.6384734
313,1243215432.107607
314,596459832.7725134
315,605326603.0008223
316,416623654.24248505
317,555570775.5055723
319,727755632.4789375
320,706632224.4548037
321,1040040599.7586817
322,1034494608.1565919
323,1598821965.7366655
324,279289687.61041147
325,1065658846.3616098
326,347920914.22137916
329,1086189598.9613583
330,548666390.7259939
331,753186920.680753
332,549758552.4475095
333,486532284.71027577
335,577922714.3759474
336,601905743.473318
337,703744928.9152304
338,725000538.1458417
339,427815688.9768652
340,457682144.01696587
341,585349676.2269083
342,573980668.1874769
343,449818114.11806256
345,641403616.7920387
346,439823799.93031454
347,497342823.88309544
348,571953520.4809037
349,1153120244.2343254
